,my_id,u,v,key,osmid,oneway,highway,length,name,geometry,maxspeed,lanes,ref,bridge,junction,access,tunnel,width
86,5204,390280658,1340357470,0,30008054,True,residential,27.46,,"LINESTRING (-8.6311423 40.6407203, -8.631107999999999 40.6408423, -8.6311094 40.6409645)",50,3,EN 109,,,roundabout,,
87,5271,1702680112,390280425,0,549319296,True,residential,306.85400000000004,,"LINESTRING (-8.633816400000001 40.6381398, -8.633668999999999 40.6382956, -8.633580200000001 40.6383982, -8.6329405 40.6391026, -8.6325416 40.63954, -8.632464499999999 40.6396245, -8.632398999999999 40.6396963, -8.632338600000001 40.6397646, -8.6322837 40.6398216, -8.6322326 40.6398747, -8.632180399999999 40.6399289, -8.6321291 40.6399821, -8.6320178 40.6400971, -8.6318941 40.6402406, -8.6317909 40.6403027, -8.6316752 40.6403543)",50,2,EN 109,,,,,
92,5549,1702680392,1702680112,0,549319296,True,residential,39.875,,"LINESTRING (-8.6340775 40.6378409, -8.633816400000001 40.6381398)",50,2,EN 109,,,,,
93,5589,1315886939,1558059143,0,549319300,True,residential,238.351,,"LINESTRING (-8.6198143 40.6535878, -8.6182295 40.6553624)",50,1,EN 109,EN 16,,,,
96,6099,1558059143,1110673632,0,559711789,True,residential,123.487,,"LINESTRING (-8.6182295 40.6553624, -8.618066000000001 40.6555454, -8.617666399999999 40.6559677, -8.617408299999999 40.6562812)",50,1,EN 109,EN 16,,,,
97,6103,1558059146,1242340729,0,601131927,True,residential,239.48,,"LINESTRING (-8.6184055 40.6552291, -8.6200285 40.6534621)",50,1,EN 109,EN 16,,,,
102,6586,1406433848,1406434291,0,"[118248798, 33653989, 95803782]",True,residential,331.012,,"LINESTRING (-8.634324400000001 40.6376956, -8.634419599999999 40.637577, -8.6357234 40.6361533, -8.6358649 40.6360029, -8.636173299999999 40.6356596, -8.6364467 40.635342, -8.636532600000001 40.6352358)",50,1,EN 109,,yes,,,
106,6898,1340357470,330341308,0,30008054,True,residential,41.448,,"LINESTRING (-8.6311094 40.6409645, -8.6312087 40.641089, -8.631331899999999 40.6411531, -8.631481000000001 40.641166)",50,3,EN 109,,,roundabout,,
107,6899,1340357470,1507823062,0,131117147,True,residential,576.961,,"LINESTRING (-8.6311094 40.6409645, -8.6310789 40.641077, -8.630999900000001 40.6412164, -8.630174 40.6421417, -8.629800599999999 40.6425589, -8.6293541 40.6430643, -8.629026100000001 40.6434222, -8.628554400000001 40.6439428, -8.627641199999999 40.6449535, -8.627339600000001 40.64528)",70,2,EN 109,EN 16,,,,
112,7035,330341306,390280425,0,30008054,True,residential,33.891999999999996,,"LINESTRING (-8.6320415 40.6404485, -8.631948100000001 40.6403924, -8.631818900000001 40.6403538, -8.6316752 40.6403543)",50,3,EN 109,,,roundabout,,
